TransferID,Tipo_Comision,ComisionUSD
243,Service Fee,5.29
244,Service Fee,18.15
245,Porcentual,8.32
246,Fija,5.99
247,Porcentual,20.71
248,Porcentual,3.08
249,Fija,5.99
250,Fija,7.99
251,Fija,5.99
252,Fija,4.99
253,Fija,7.99
254,Service Fee,10.5
255,Porcentual,6.46
256,Porcentual,14.8
257,Fija,5.99
258,Service Fee,25.3
259,Service Fee,18.78
260,Porcentual,9.82
261,Porcentual,22.72
262,Porcentual,36.46
263,Fija,4.99
264,Porcentual,14.37
265,Porcentual,15.38
266,Service Fee,19.32
267,Service Fee,2.26
268,Porcentual,29.28
269,Service Fee,22.39
270,Service Fee,12.7
271,Porcentual,15.06
272,Porcentual,31.28
273,Porcentual,35.79
274,Porcentual,3.94
275,Porcentual,19.4
276,Porcentual,9.96
277,Fija,3.99
278,Porcentual,24.74
279,Porcentual,24.98
280,Fija,7.99
281,Porcentual,23.09
282,Service Fee,5.04
283,Porcentual,51.41
284,Porcentual,43.11
285,Fija,7.99
286,Fija,7.99
287,Porcentual,23.07
288,Porcentual,9.69
289,Service Fee,17.59
290,Fija,5.99
291,Service Fee,3.0
292,Fija,4.99
293,Fija,7.99
294,Service Fee,2.18
295,Fija,5.99
296,Service Fee,8.24
297,Porcentual,27.59
298,Service Fee,16.05
299,Porcentual,11.95
300,Fija,3.99
301,Fija,3.99
302,Porcentual,21.82
303,Fija,7.99
304,Fija,3.99
305,Porcentual,8.2
306,Porcentual,9.47
307,Fija,4.99
308,Fija,3.99
309,Porcentual,43.93
310,Service Fee,5.8
311,Porcentual,24.15
312,Fija,4.99
313,Porcentual,0.68
314,Fija,4.99
315,Fija,4.99
316,Fija,7.99
317,Porcentual,9.5
318,Porcentual,20.67
319,Service Fee,4.22
320,Porcentual,48.76
321,Fija,4.99
322,Porcentual,32.55
323,Porcentual,3.1
324,Fija,3.99
325,Porcentual,12.56
326,Porcentual,53.17
327,Porcentual,4.35
328,Porcentual,9.18
329,Porcentual,2.86
330,Porcentual,20.37
331,Service Fee,14.92
332,Porcentual,4.29
333,Fija,4.99
334,Fija,3.99
335,Porcentual,24.61
336,Porcentual,16.1
337,Service Fee,6.94
338,Fija,4.99
339,Porcentual,5.88
340,Fija,4.99
341,Porcentual,31.78
342,Fija,4.99
343,Fija,7.99
344,Fija,7.99
345,Fija,7.99
346,Fija,4.99
347,Fija,3.99
348,Porcentual,8.9
349,Porcentual,42.59
350,Porcentual,25.28
351,Service Fee,2.51
352,Service Fee,3.97
353,Porcentual,4.38
354,Porcentual,28.66
355,Porcentual,1.04
356,Fija,5.99
357,Porcentual,37.64
358,Fija,5.99
359,Service Fee,19.39
360,Fija,5.99
361,Service Fee,4.77
362,Porcentual,4.56
363,Porcentual,29.96
364,Porcentual,41.88
365,Service Fee,17.95
366,Fija,3.99
367,Fija,7.99
368,Porcentual,4.88
369,Fija,7.99
370,Fija,4.99
371,Service Fee,2.64
372,Porcentual,4.34
373,Service Fee,6.48
374,Porcentual,0.87
375,Porcentual,9.09
376,Fija,7.99
377,Porcentual,10.02
378,Porcentual,48.07
379,Service Fee,21.51
380,Porcentual,14.06
381,Porcentual,5.66
382,Porcentual,13.69
383,Service Fee,12.25
384,Porcentual,10.83
385,Porcentual,30.62
386,Fija,4.99
387,Fija,7.99
388,Porcentual,12.21
389,Porcentual,15.82
390,Fija,3.99
391,Service Fee,21.17
392,Porcentual,3.55
393,Fija,3.99
394,Porcentual,10.76
395,Fija,3.99
396,Fija,4.99
397,Porcentual,23.8
398,Service Fee,2.77
399,Service Fee,9.0
400,Porcentual,13.17
